ID,Title,Author,Author First Name,Author Last Name,Publisher,Page Count,Genres,ISBN,Published Date,Checkout Date,Checkout Duration,Available Date,Available Status,Checkout,Edit
288,Deadpool Team-Up Vol. 1: Good Buddies,Fred Van Lente,Fred,Van Lente,Marvel Entertainment,9.78E+12,"Comics & Graphic Novels, Superheroes",Original pages,186,,,,Available,Checkout,Edit
297,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,Steven,Levitt,Harper Collins,304,"Psychology, Creative Ability",9780062218360,12-May-14,,,,Available,Checkout,Edit
298,Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,Al,Ewing,Marvel Entertainment,128,"Comics, Graphic Novels, Superheroes",9781302507169,21-Nov-18,,,,Available,Checkout,Edit
299,Her Royal Spyness,Rhys Bowen,Rhys,Bowen,Penguin,336,"Fiction, Mystery, Detective, Amateur Sleuth",9781101207369,1-Jul-08,,,,Available,Checkout,Edit
303,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,Dylan,Young,Bookouture,350,"Fiction, Thrillers, Suspense",9781786814029,16-May-18,,,,Available,Checkout,Edit
307,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,J. R. R.,Tolkien,HarperCollins UK,1216,"Fiction, Fairy Tales, Folk Tales, Legends, Mythology",9780007322596,20-Apr-09,,,,Available,Checkout,Edit
311,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,George,Martin,HarperCollins UK,864,"Fiction, Fantasy, Dragons, Mythical Creatures",9780007369218,24-Feb-11,,,,Available,Checkout,Edit
316,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,Denise,Swank,DGS,350,"Fiction, Mystery, Detective, Women Sleuths",9781939996343,3-Nov-15,,,,Available,Checkout,Edit
320,Furies of Calderon,Jim Butcher,Jim,Butcher,Penguin,672,"Fiction, Fantasy, Military",9781440631849,28-Jun-05,,,,Available,Checkout,Edit
322,You'll Never See Daylight Again,Michaella McCollum,Michaella,McCollum,Kings Road Publishing,476,"True Crime, General",9781789460148,31-Oct-19,,,,Available,Checkout,Edit
